experiment_id,stage,owner,branch,commit,config_file,seed,data_protocol,imgsz,epochs,model,status,kaggle_notebook,output_name,val_precision,val_recall,val_f1,val_map50,val_map50_95,best_epoch,checkpoint_sha256,notes
V3-B0-S42,strong_baseline,Historical,v3-strong-baseline,,project_v3/configs/baseline/baseline_protocol.yaml,42,offline_brightness_augmented,1024,100,yolo11s,completed_historical,,fwnet_v2_baseline_s42,0.628716,0.632269,0.630487,0.619106,0.393328,45,d1818a3593da30e86e232adc8c36a8414d7126d76e4861c6c0037c03783eebc7,Verified V2 validation reference; official test results must not guide V3 development
V3-B1-S42,strong_baseline,UNASSIGNED,v3-strong-baseline,,project_v3/configs/baseline/baseline_b1_s42.yaml,42,original_only_online_augmentation,640,250,yolo11s,planned,,wrist_privid_v3_b1_s42,,,,,,,,Primary clean-data baseline experiment
V3-B1-S3407,strong_baseline,UNASSIGNED,v3-strong-baseline,,project_v3/configs/baseline/baseline_b1_s3407.yaml,3407,original_only_online_augmentation,640,250,yolo11s,blocked_pending_B1_S42,,wrist_privid_v3_b1_s3407,,,,,,,,Replication run; start only if V3-B1-S42 is promising
